date,total_transactions,extra_in_internal,missing_from_internal,amount_mismatch,fee_mismatch
2015-09-09,6,0,0,0,0
2015-09-15,2,0,0,0,0
2015-11-20,4,0,0,0,0
2015-11-27,6,0,0,0,0
2016-01-29,2,0,0,0,0
2016-03-13,4,0,0,0,0
2016-08-02,2,0,0,0,0
2016-08-05,6,0,0,0,0
2016-08-08,4,0,0,0,0
2016-08-10,4,0,0,0,0
2016-09-02,4,0,0,0,0
2016-11-05,2,0,0,0,0
2016-11-25,256,0,0,0,0
2016-12-19,4,0,0,0,0
2017-05-04,2,0,0,0,0
2017-05-13,2,0,0,0,0
2017-05-27,4,0,0,0,0
2017-06-08,2,0,0,0,0
2017-06-11,2,0,0,0,0
2017-06-14,2,0,0,0,0
2017-07-12,2,0,0,0,0
2017-07-20,2,0,0,0,0
2017-08-25,4,0,0,0,0
2017-10-07,2,0,0,0,0
2017-12-13,2,0,0,0,0
2017-12-14,6,0,0,0,0
2018-01-06,2,0,0,0,0
2018-01-14,2,0,0,0,0
2018-02-02,2,0,0,0,0
2018-02-06,2,0,0,0,0
2018-03-22,2,0,0,0,0
2018-03-31,2,0,0,0,0
2018-05-01,2,0,0,0,0
2018-08-08,2,0,0,0,0
2018-10-11,12,0,0,0,0
2018-10-14,2,0,0,0,0
2018-11-13,2,0,0,0,0
2018-11-15,2,0,0,0,0
2018-11-22,2,0,0,0,0
2018-12-20,2,0,0,0,0
2018-12-21,2,0,0,0,0
2018-12-22,2,0,0,0,0
2019-01-06,2,0,0,0,0
2019-01-09,2,0,0,0,0
2019-01-15,2,0,0,0,0
2019-02-14,6,0,0,0,0
2019-02-17,4,0,0,0,0
2019-03-07,2,0,0,0,0
2019-03-16,2,0,0,0,0
2019-03-22,4,0,0,0,0
2019-04-05,2,0,0,0,0
2019-04-11,2,0,0,0,0
2019-05-18,2,0,0,0,0
2019-05-20,2,0,0,0,0
2019-05-22,2,0,0,0,0
2019-06-21,2,0,0,0,0
2019-06-28,2,0,0,0,0
2019-07-22,2,0,0,0,0
2019-07-25,2,0,0,0,0
2019-08-22,2,0,0,0,0
2019-09-05,2,0,0,0,0
2019-09-10,2,0,0,0,0
2019-10-30,2,0,0,0,0
2019-12-15,2,0,0,0,0
2019-12-31,2,0,0,0,0
2020-01-05,6,0,0,0,0
2020-01-13,2,0,0,0,0
2020-01-20,2,0,0,0,0
2020-02-09,4,0,0,0,0
2020-02-24,2,0,0,0,0
2020-02-27,2,0,0,0,0
2020-03-02,2,0,0,0,0
2020-03-07,2,0,0,0,0
2020-03-15,2,0,0,0,0
2020-06-06,2,0,0,0,0
2020-06-14,2,0,0,0,0
2020-06-19,2,0,0,0,0
2020-06-20,2,0,0,0,0
2020-06-29,2,0,0,0,0
2020-07-08,2,0,0,0,0
2020-07-17,2,0,0,0,0
2020-07-23,2,0,0,0,0
2020-08-01,6,0,0,0,0
2020-08-26,2,0,0,0,0
2020-09-06,2,0,0,0,0
2020-09-18,4,0,0,0,0
2020-09-19,2,0,0,0,0
2020-09-20,2,0,0,0,0
2020-09-27,6,0,0,0,0
2020-10-01,2,0,0,0,0
2020-10-07,2,0,0,0,0
2020-10-09,2,0,0,0,0
2020-10-26,4,0,0,0,0
2020-10-27,2,0,0,0,0
2020-11-01,2,0,0,0,0
2020-11-02,16,0,0,0,0
2020-11-03,2,0,0,0,0
2020-11-04,2,0,0,0,0
2020-11-05,4,0,0,0,0
2020-11-06,4,0,0,0,0
2020-11-07,6,0,0,0,0
2020-11-08,6,0,0,0,0
2020-11-10,6,0,0,0,0
2020-11-12,2,0,0,0,0
2020-11-14,2,0,0,0,0
2020-11-26,2,0,0,0,0
2020-12-01,4,0,0,0,0
2020-12-05,2,0,0,0,0
2020-12-16,4,0,0,0,0
2020-12-26,2,0,0,0,0
2020-12-28,2,0,0,0,0
2021-01-05,2,0,0,0,0
2021-01-08,2,0,0,0,0
2021-01-13,6,0,0,0,0
2021-01-16,2,0,0,0,0
2021-01-18,8,0,0,0,0
2021-01-22,4,0,0,0,0
2021-01-23,2,0,0,0,0
2021-03-06,2,0,0,0,0
2021-03-13,2,0,0,0,0
2021-04-05,2,0,0,0,0
2021-04-12,2,0,0,0,0
2021-04-13,2,0,0,0,0
2021-04-15,2,0,0,0,0
2021-04-17,4,0,0,0,0
2021-04-22,2,0,0,0,0
2021-04-27,2,0,0,0,0
2021-05-01,2,0,0,0,0
2021-05-03,6,0,0,0,0
2021-05-04,2,0,0,0,0
2021-05-06,2,0,0,0,0
2021-05-11,2,0,0,0,0
2021-05-12,140,0,0,0,0
2021-05-13,48,0,0,0,0
2021-05-14,30,0,0,0,0
2021-05-15,50,0,0,0,0
2021-05-16,10,0,0,0,0
2021-05-17,12,0,0,0,0
2021-05-18,4,0,0,0,0
2021-05-20,2,0,0,0,0
2021-05-22,4,0,0,0,0
2021-05-27,2,0,0,0,0
2021-05-31,2,0,0,0,0
2021-06-02,2,0,0,0,0
2021-06-03,2,0,0,0,0
2021-06-04,2,0,0,0,0
2021-06-06,2,0,0,0,0
2021-06-07,4,0,0,0,0
2021-06-08,2,0,0,0,0
2021-06-13,2,0,0,0,0
2021-06-15,2,0,0,0,0
2021-06-18,2,0,0,0,0
2021-06-20,8,0,0,0,0
2021-06-21,2,0,0,0,0
2021-06-27,2,0,0,0,0
2021-06-29,2,0,0,0,0
2021-07-02,2,0,0,0,0
2021-07-04,2,0,0,0,0
2021-07-05,2,0,0,0,0
2021-07-07,2,0,0,0,0
2021-07-14,2,0,0,0,0
2021-07-16,6,0,0,0,0
2021-07-17,4,0,0,0,0
2021-07-22,2,0,0,0,0
2021-07-23,4,0,0,0,0
2021-07-24,2,0,0,0,0
2021-07-27,2,0,0,0,0
2021-08-02,4,0,0,0,0
2021-08-05,2,0,0,0,0
2021-08-06,2,0,0,0,0
2021-08-10,2,0,0,0,0
2021-08-13,6,0,0,0,0
2021-08-18,2,0,0,0,0
2021-08-23,6,0,0,0,0
2021-08-25,2,0,0,0,0
2021-08-26,2,0,0,0,0
2021-09-01,2,0,0,0,0
2021-09-04,4,0,0,0,0
2021-09-13,2,0,0,0,0
2021-09-22,2,0,0,0,0
2021-09-28,2,0,0,0,0
2021-09-29,2,0,0,0,0
2021-10-09,4,0,0,0,0
2021-10-14,4,0,0,0,0
2021-10-17,2,0,0,0,0
2021-10-18,2,0,0,0,0
2021-10-19,48,0,0,0,0
2021-10-20,2,0,0,0,0
2021-10-21,4,0,0,0,0
2021-10-22,116,0,0,0,0
2021-10-23,6,0,0,0,0
2021-10-24,2,0,0,0,0
2021-10-29,6,0,0,0,0
2021-10-31,8,0,0,0,0
2021-11-01,40,0,0,0,0
2021-11-08,2,0,0,0,0
2021-11-19,2,0,0,0,0
2021-11-29,2,0,0,0,0
2021-12-06,12,0,0,0,0
2021-12-14,4,0,0,0,0
2021-12-16,2,0,0,0,0
2021-12-22,2,0,0,0,0
2021-12-24,16,0,0,0,0
2022-01-04,2,0,0,0,0
2022-01-05,50,0,0,0,0
2022-01-13,2,0,0,0,0
2022-01-19,4,0,0,0,0
2022-01-28,8,0,0,0,0
2022-02-04,4,0,0,0,0
2022-02-08,2,0,0,0,0
2022-02-10,2,0,0,0,0
2022-02-12,2,0,0,0,0
2022-02-13,4,0,0,0,0
2022-02-14,2,0,0,0,0
2022-02-17,2,0,0,0,0
2022-03-07,2,0,0,0,0
2022-03-12,4,0,0,0,0
2022-03-18,2,0,0,0,0
2022-04-03,12,0,0,0,0
2022-04-04,6,0,0,0,0
2022-04-12,2,0,0,0,0
