hash,date,value_eth,fee_eth,from,to
0xff25386e606795628054fee72cc951b934e75b06074ef4ec69c13561e454b233,2026-04-11,0.000103749582995916,2.195217532024e-05,0xff629ead0ce217e4e99e1714e09be41dd387c1d8,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0xfd0c715788ed6ec1769378e050aed6b18090ce3f17bcf272ab0b7af3ae9c130a,2026-04-01,1e-09,2.799329716054e-06,0x3c7776ed1938dfe9905ef0760019dbec4bd641ab,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0xc8aaf7fe5e66424b0dcf6e5b5be7360aa467b8a60ee4606ef4656f67d8722bc1,2026-04-01,1e-07,2.805160962436e-06,0x3c77c73feaf9a35564119e4c11c83bbba35c41ab,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0xf7e0b939ed66139cc950f2a7a1630646b3205c3c6d9870eb733ec7a54540deea,2026-04-01,14.0,3.607506105e-06,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0x3c7779d27348017415a9184acadc0d62052841ab
0xf1f5ffd7e417fcefb64c4f97484ef7dfa1c28731449549d93563bca9644bf9e2,2026-03-27,1e-18,2.1e-06,0xec338e5421920bfb97166a019e0569dbab6fec9b,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0xf1305bc79f54405599fe85f672698ea1657a19afb08ec556e4cc8ecd15b01626,2026-03-27,1e-18,2.1e-06,0xec338e5421920bfb97166a019e0569dbab6fec9b,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0x031701237ceebd95c7dd6a0c653e9c3b26380cb38b4c40f44fe96b916b46f243,2026-03-27,1e-18,2.1e-06,0xec338e5421920bfb97166a019e0569dbab6fec9b,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0x639de17528770154a97f33eef25ffc7ab192ab0df273a1a05eb12a5b8b755bfc,2026-03-27,1e-18,2.1e-06,0xec338e5421920bfb97166a019e0569dbab6fec9b,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0x065acbcee0bdc3560f6821990dfb9dbabc589ab4f8b951116f47f3dfce04f17c,2026-03-27,1e-18,2.1e-06,0xec338e5421920bfb97166a019e0569dbab6fec9b,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0x94f5119c698c1fdaa7882ed3d81b198cb23bf8096eb3d874b2e791dd9f440446,2026-03-27,1e-18,2.1e-06,0xec338e5421920bfb97166a019e0569dbab6fec9b,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0x755b0aa080556ca02f8b00ee6c7a74c975f4150dd89acdf013cb72ceb79f5692,2026-03-27,1e-18,2.1e-06,0xec338e5421920bfb97166a019e0569dbab6fec9b,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0x7d0ac6420642ca0f28ff4021644e0b86c4b591e2d26c9e77c60c203fd0452f0b,2026-03-27,1e-18,2.1e-06,0xec338e5421920bfb97166a019e0569dbab6fec9b,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0x6e80de5d1b23fed75b89f16835f073a92e37caa37a8586f2ffe9eb98f96c39ed,2026-03-27,1e-18,2.1e-06,0xec338e5421920bfb97166a019e0569dbab6fec9b,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0x46a156687c189c83becd8e546354b24b5f7dc8e3e2a33eece5cfb0c170d444cc,2026-03-27,1e-18,2.1e-06,0xec338e5421920bfb97166a019e0569dbab6fec9b,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0x685b955c426675e8299849dfb6511682b91866bc1efe7b106308a04d2eacdd22,2026-03-03,5.123456789e-06,2.818787549886e-06,0x9a26be25ca0da8a7ff5dfbb1aebe587903c2b472,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0x1b615b2cc2610ba6652dfe5c53f6e50ee121aff79b8c3b1aee156d01ecad9202,2026-02-28,0.01,1.68467103e-06,0xd8da6bf26964af9d7eed9e03e53415d37aa96045,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0xae857f18c5716e37286944bf0b3b4228e7857131154a9a7ecd35e920aa541872,2026-02-17,3.9255080793358e-05,9.215472176826e-06,0xf226f80bd806df1dd934c9f76bdec674cbd9e9ff,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0xc2771f12b618d97b62b6eec50ac67686026e517cd38bd296e21b8991ceb9d9e0,2026-01-20,0.0,8.57547166144e-06,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0x71cfc1be4aee4941c58cef02069f19ee291c0ac3
0x1ac7db96fe4e23f7630a248a8f530cf4745550181861467ba9355f08c150726f,2025-12-20,1e-09,6.18379772388e-07,0x3c7776ed1938dfe9905ef0760019dbec4bd641ab,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0xf10cb4d2448e57bab460ee88c0d0ebcd68db3d45b2ac74203730b021151757df,2025-12-20,1e-07,5.26043922264e-07,0x3c77c73feaf9a35564119e4c11c83bbba35c41ab,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0xf7458d4f28a0583e93cb3b13535d994a0bfd44ca7af5e6b27ab4491b29f97ce6,2025-12-20,1e-09,5.93681734018e-07,0x3c7776ed1938dfe9905ef0760019dbec4bd641ab,0xab5801a7d398351b8be11c439e05c5b3259aec9b
0x0caaa0539dddb6945ef57a792e06938669690bd43d2199ec00a43c99a12a25ea,2025-12-20,27.0,1.2705e-06,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0x3c7779d27348017415a9184acadc0d62052841ab
0xb3ee97d72cf87bbdf0b69dcbdffc486337d48e809fc779a8fc719e379a29ab16,2025-12-20,0.0,1.00276935e-05,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x4a6e905a1531b58bb198c3a184c7973947955fbf9995460eece5f594498a8898,2025-12-20,0.0,2.806353e-06,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0x21a3ef9a383f5ecb1ff0ffbbaf5607d1420b965d
0x8cfef5a102c382ed87410ec0b3a697f4063c8dad9144f2781d1114f2cb5fe663,2025-12-20,0.0,1.1301279e-05,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d
0x0df3811ce294627cebc86e2306d78bf014e97b9c43c00b7f328018ce3d16edd9,2025-12-20,0.0,2.806353e-06,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0x3af73bb96b335fc0fd2c4cf39ce95f3ff8c8de66
0xaaa8da09fda0c0e9e8da5da03d92e35dd9484c1532116df17e3994788ab0cd68,2025-12-20,0.0,3.477056e-06,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
0x3b7dc6989297ddd92dd6e94557d4488920f0c366d829d19ecaddc3d494167510,2025-12-20,2.5,7.98541315e-05,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0x3a23f943181408eac424116af7b7790c94cb97a5
0x89697b8442bb82587fcb80d4704a9e74fb22d01bbaf317f9d7ac932d18e2cf7c,2025-12-20,0.0,1.2614492e-05,0xab5801a7d398351b8be11c439e05c5b3259aec9b,0xab5801a7d398351b8be11c439e05c5b3259aec9b
