date,mismatch_count,total_amount_impact_eth,total_fee_impact_eth
2023-04-20,1,1e-05,0.001387828487766
2023-04-21,1,0.0,0.000970043435650656
2023-04-27,1,0.0001,0.000746684246868
2023-05-04,1,0.001,0.002156082049149
2023-05-06,1,0.0,0.00274248
2023-05-23,1,0.0,0.000801484842144
2023-05-31,1,0.025006211479159744,0.000563274404721
2023-06-08,4,0.00023439999999999998,0.001806320407416
2023-06-10,2,0.00015215214,0.000885122586232264
2023-06-11,1,2.6745e-05,0.000342225394497
2023-06-14,1,0.12412,0.000448689517395
2023-06-16,2,0.010001,0.000624744855588
2023-06-22,1,4.1222e-05,0.00029708918547
2023-07-03,1,0.0,0.00060875682502956
2023-07-04,1,0.0,0.000803231877044448
2023-07-05,1,5.6,0.000894612315828
2023-07-09,1,1e-06,0.000322462400715
2023-07-21,3,0.0,0.00194723003543882
2023-08-05,1,0.0,0.000384369165117608
2023-08-06,1,0.0,0.00029508644202284
2023-08-08,1,0.0,0.00076999034675088
2023-08-09,1,0.00461987,0.000663672996
2023-08-10,1,0.0001,0.000553905908199
2023-08-12,1,0.0,0.000313983713520176
2023-08-15,1,0.0,0.001309053872603024
2023-08-18,1,0.00601,0.000458440379061
2023-08-19,12,0.0,0.011517418837159633
2023-08-21,1,0.0,0.000447654789273168
2023-08-22,1,0.0,0.0006807399162284
2023-08-25,1,0.0,0.000877088925316008
2023-08-27,1,0.0,0.000297299651922
2023-08-29,1,1.01e-06,0.000559423879833
2023-09-01,1,0.0,0.000243052856802
2023-09-10,1,9.999e-05,0.000194832131466
2023-09-12,1,3.33333e-05,0.000261788304036
2023-09-17,2,0.20005988800000002,0.000349998342078
2023-09-20,3,0.0,0.000705546464448
2023-09-29,1,0.0,0.000251264468054976
2023-10-02,1,0.0138301,0.000185421090939
2023-10-07,1,0.0,0.000157237686627
2023-10-11,3,0.0,0.00041489461133400004
2023-10-19,2,0.002,0.000591310334979
2023-10-27,1,0.0,0.000906856123833
2023-11-06,1,0.0,0.000876516746649336
2023-11-07,1,0.0,0.000612000012096336
2023-11-23,1,3.3e-05,0.000500842939023
2023-11-26,1,0.001442273022283118,0.000363173137341
2023-11-27,1,0.0001,0.000568818937092
2023-12-20,4,0.0,0.016984097405635987
2023-12-23,3,62.61,0.00131635575981
2024-01-07,1,0.0072,0.000585759663699
2024-01-18,2,1e-05,0.0016621922496917441
2024-01-26,1,0.013246,0.000381182156712
2024-02-01,1,0.00020140201,0.00061654859282224
2024-02-05,1,1e-06,0.00071832681795676
2024-02-20,2,0.0,0.004833772115557101
2024-02-26,1,0.0101001101001111,0.001051209940872
2024-03-23,1,0.0001,0.000362120657199
2024-03-29,1,0.0,0.000639322861926504
2024-04-02,1,0.037,0.000401125093467
2024-04-21,1,0.00021867523,0.000170466181998
2024-05-09,1,1e-07,9.5811660504e-05
2024-05-25,1,0.0,0.000279564110275896
2024-05-26,1,0.0,9.1021982412064e-05
2024-06-01,1,0.0,0.000104802184323232
2024-06-02,2,0.00047900000000000004,0.000849219329784
2024-06-04,1,0.0003,0.000139530277551
2024-06-06,1,0.0,0.000293809923372
2024-06-13,1,0.0,0.000262320576207272
2024-06-16,1,0.0,0.000100668145976464
2024-07-23,1,0.0,0.00015232120854524
2024-07-24,1,0.0,8.1076680744752e-05
2024-07-25,2,0.0,0.000221744490914848
2024-07-27,1,3.33e-06,2.1e-05
2024-07-29,1,1e-05,3.15e-05
2024-08-16,1,4.3333e-05,2.0413177134e-05
2024-08-20,25,0.0,0.0020690879431530004
2024-09-21,1,0.000392413855348404,0.000189
2024-09-22,1,0.000386755929935295,0.0003255
2024-09-23,3,0.0015110634128105778,0.0017115
2024-09-27,2,0.000816474980608718,0.0006733648326172
2024-11-23,1,0.0,0.000503472365131032
2024-11-27,2,0.0,0.00315252277225298
2024-11-29,1,1e-05,0.000581331345777
2025-01-06,40,0.00021,0.07016006385806015
2025-01-08,1,0.0,0.000374828
2025-01-09,1,0.0002,0.000116342287572
2025-01-19,1,0.0,0.00170965209928536
2025-01-28,1,0.0,0.000238363135453464
2025-01-31,1,0.00042069,3.92506044e-05
2025-02-02,1,0.0,0.00033115413480876
2025-02-04,1,0.001403964321684417,8.5898973531e-05
2025-02-09,1,0.112638,2.9475658674e-05
2025-03-23,1,0.0047,7.479168354e-06
2025-03-30,1,0.0,2.4290425005e-05
2025-04-11,1,0.00656,1.2240215568e-05
2025-05-08,1,2.2433561346e-05,8.4e-05
2025-05-23,1,0.000112597351725494,5.5174556514e-05
2025-06-04,2,129.8,0.00011082347838688
2025-06-05,3,0.0009668300499999999,0.000370301278095
2025-06-14,1,0.000197773239991151,1.4049e-05
2025-07-23,1,0.0,5.432e-05
2025-08-07,3,5.0005e-06,8.515572004380001e-05
